symptoms,disease
"Eye pain, redness, blurred vision, light sensitivity, excessive tearing.",Acanthamoeba Keratitis
"Difficulty swallowing, chest pain, weight loss, heartburn.",Achalasia
"Pimples, blackheads, whiteheads, oily skin, scarring.",Acne Vulgaris
"Hearing loss, tinnitus, dizziness, balance issues.",Acoustic Neuroma
"Weight loss, fever, fatigue, swollen lymph nodes, opportunistic infections.",Acquired Immunodeficiency Syndrome (AIDS)
"Enlarged hands and feet, facial changes, joint pain, thickened skin.",Acromegaly
"Severe right upper abdominal pain, nausea, vomiting, fever, tenderness in the abdomen.",Acute Cholecystitis
"Fatigue, frequent infections, fever, weight loss, easy bruising, bone pain.",Acute Lymphoblastic Leukemia
"Fatigue, shortness of breath, frequent infections, easy bruising, unexplained weight loss.",Acute Myeloid Leukemia (AML)
"Upper abdominal pain, nausea, vomiting, rapid pulse, fever.",Acute Pancreatitis
"Fatigue, muscle weakness, weight loss, low blood pressure, salt cravings, darkened skin.",Addison’s Disease
"Varies depending on location; often includes unexplained weight loss, fatigue, and pain.",Adenocarcinoma
"Fever, cough, sore throat, pink eye, diarrhea, nausea, vomiting.",Adenovirus Infection
"Shoulder pain, stiffness, reduced range of motion.",Adhesive Capsulitis (Frozen Shoulder)
"Abnormal growth of adrenal glands, early onset puberty, hirsutism, irregular periods.",Adrenal Hyperplasia
"Nausea, vomiting, abdominal pain, liver damage, jaundice.",Aflatoxicosis
"Fever, headache, joint pain, confusion, sleep disturbances.",African Trypanosomiasis (Sleeping Sickness)
"Fear of places or situations that might cause panic, helplessness, or embarrassment.",Agoraphobia
"Sudden fever, sore throat, infections, fatigue, mouth ulcers.",Agranulocytosis
"Jaundice, fatigue, abdominal pain, nausea, loss of appetite, confusion.",Alcoholic Liver Disease
"Dark urine, pigmentation of cartilage and skin, arthritis, heart problems.",Alkaptonuria
"Wheezing, coughing, shortness of breath, chest tightness.",Allergic Bronchopulmonary Aspergillosis (ABPA)
"Itchy, red, watery eyes, swollen eyelids.",Allergic Conjunctivitis
Complete hair loss on the scalp and body.,Alopecia Universalis
"Shortness of breath, wheezing, chronic cough, liver disease, fatigue.",Alpha-1 Antitrypsin Deficiency
"Blood in urine, hearing loss, vision problems, swelling, high blood pressure.",Alport Syndrome
"Painless mass, weight loss, fatigue, shortness of breath, coughing.",Alveolar Soft Part Sarcoma
"Facial swelling, pain, loose teeth, jaw numbness.",Ameloblastoma
"Fatigue, swelling in ankles and legs, weight loss, enlarged tongue, shortness of breath.",Amyloidosis
"Bleeding from the rectum, pain, itching around the anus, lump near the anus, discharge.",Anal Cancer
"Difficulty breathing, swelling, hives, low blood pressure, dizziness.",Anaphylaxis
"Incomplete development of male genitalia, infertility, absence of menstruation, breast development in males.",Androgen Insensitivity Syndrome
"Sudden severe headache, blurred vision, pain above or behind the eyes, loss of consciousness, nausea.",Aneurysm
"Chest pain, shortness of breath, nausea, dizziness, fatigue.",Angina Pectoris
"Swelling under the skin, particularly around the eyes and lips, hives, abdominal pain.",Angioedema
"Chronic back pain, stiffness in the spine, reduced flexibility, fatigue, eye inflammation.",Ankylosing Spondylitis
"Extreme weight loss, fatigue, dizziness, brittle nails, dry skin, hair loss.",Anorexia Nervosa
"Eye pain, redness, blurred vision, sensitivity to light, tearing.",Anterior Uveitis
"Fever, chills, cough, chest discomfort, nausea, vomiting, swollen lymph nodes.",Anthrax
"Blood clots, recurrent miscarriages, strokes, heart attacks, rash.",Antiphospholipid Syndrome
"Sudden severe chest pain, shortness of breath, loss of consciousness, weak pulse.",Aortic Dissection
"Chest pain, shortness of breath, fatigue, dizziness, heart palpitations.",Aortic Stenosis
"Small, painful sores in the mouth, difficulty eating or speaking.",Aphthous Ulcers (Canker Sores)
"Fatigue, shortness of breath, pale skin, frequent infections, easy bruising, nosebleeds.",Aplastic Anemia
"Pain in the lower right abdomen, nausea, vomiting, loss of appetite, fever.",Appendicitis
"Bluish-gray discoloration of the skin, especially in areas exposed to the sun.",Argyria
"Abdominal pain, vomiting, diarrhea, muscle cramps, skin changes, numbness.",Arsenic Poisoning
"Sudden pain, cold limb, pale or bluish skin, lack of pulse.",Arterial Embolism
"Chest pain, shortness of breath, fatigue, confusion, leg pain.",Arteriosclerosis
"Joint pain, swelling, stiffness, decreased range of motion, fatigue.",Arthritis
"Shortness of breath, persistent cough, chest pain, finger clubbing.",Asbestosis
"Abdominal pain, nausea, vomiting, diarrhea, cough, weight loss.",Ascariasis (Roundworm Infection)
